Date,Total_Assets,Total_Liabilities,Total_Equity,Current_Assets,Current_Liabilities,Long_Term_Debt,Short_Term_Debt,Cash,Debt_to_Equity,Current_Ratio,Company,Sector
2025-09-30,4560205000000,4199993000000,360212000000,1179344000000,3548704000000,,69355000000.0,303436000000,11.659780906799329,0.3323309016474747,JPM,Financials
2025-06-30,4552482000000,4195558000000,356924000000,1015379000000,3396305000000,419802000000.0,65293000000.0,420327000000,11.75476572043348,0.29896578781940963,JPM,Financials
2025-03-31,4357856000000,4006436000000,351420000000,931728000000,3281006000000,407224000000.0,598026000000.0,425903000000,11.400705708269307,0.2839763170198409,JPM,Financials
2024-12-31,4002814000000,3658056000000,344758000000,967230000000,3226497000000,389836000000.0,361310000000.0,469317000000,10.610503599626405,0.29977712671048506,JPM,Financials
2024-09-30,4210048000000,3864212000000,345836000000,880289000000,3114005000000,410157000000.0,439975000000.0,434260000000,11.173538902832556,0.2826870862442417,JPM,Financials
2024-06-30,4143003000000,3802451000000,340552000000,923617000000,3085506000000,394028000000.0,448140000000.0,530819000000,11.165551810002585,0.2993405295598194,JPM,Financials
2024-03-31,4090727000000,3754090000000,336637000000,917285000000,3028674000000,395872000000.0,371938000000.0,562116000000,11.151745054762252,0.3028668651693778,JPM,Financials
2023-12-31,3875393000000,3547515000000,327878000000,923999000000,3119470000000,391825000000.0,261247000000.0,624151000000,10.819618882633174,0.29620384231936836,JPM,Financials
2023-09-30,3898333000000,3580962000000,317371000000,823692000000,2901203000000,362793000000.0,314220000000.0,511369000000,11.28320482967883,0.2839139487998599,JPM,Financials
2023-06-30,3868240000000,3555724000000,312516000000,797082000000,2899508000000,364078000000.0,321737000000.0,495123000000,11.377734260005887,0.2749025007001188,JPM,Financials
2023-03-31,3744305000000,3441223000000,303082000000,844825000000,2855754000000,440642000000.0,288637000000.0,546000000000,11.354098890729242,0.29583255420459886,JPM,Financials
2022-12-31,3665743000000,3373411000000,292332000000,889122000000,3053636000000,190586000000.0,246640000000.0,567234000000,11.539656965368144,0.2911682990376063,JPM,Financials
2022-09-30,3773884000000,3485866000000,288018000000,965118000000,2886298000000,201957000000.0,287805000000.0,644187000000,12.102944954829212,0.3343791943867196,JPM,Financials
2022-06-30,3841314000000,3555171000000,286143000000,1021609000000,2942993000000,426103000000.0,281141000000.0,669260000000,12.424455604365649,0.3471326639241072,JPM,Financials
2022-03-31,3954687000000,3668788000000,285899000000,1199495000000,3044734000000,293239000000.0,281444000000.0,754532000000,12.832461813437613,0.39395723895749185,JPM,Financials
2021-12-31,3743567000000,3449440000000,294127000000,1133661000000,3127885000000,301005000000.0,247934000000.0,740834000000,11.727723058406742,0.3624369182370835,JPM,Financials
2021-09-30,3757576000000,3467535000000,290041000000,1114233000000,2887209000000,298465000000.0,305313000000.0,759869000000,11.955327005492327,0.38592045120391355,JPM,Financials
2021-06-30,3684256000000,3397870000000,286386000000,1050636000000,2786459000000,427748000000.0,297375000000.0,705421000000,11.864651205017005,0.3770505864252803,JPM,Financials
2021-03-31,3689336000000,3408622000000,280714000000,1141228000000,2828458000000,279427000000.0,358997000000.0,711072000000,12.142686150316692,0.40348062442504007,JPM,Financials
2020-12-31,3384757000000,3105403000000,279354000000,974063000000,2798440000000,187759000000.0,260417000000.0,527609000000,11.11637205839186,0.34807356956018354,JPM,Financials
2020-09-30,3246076000000,2974963000000,271113000000,919765000000,2442341000000,181684000000.0,278432000000.0,487522000000,10.973147728069108,0.3765915570348285,JPM,Financials
2020-06-30,3213115000000,2948649000000,264466000000,1023397000000,2379902000000,186040000000.0,283661000000.0,493729000000,11.149444541075223,0.4300164460553418,JPM,Financials
2020-03-31,3139431000000,2878169000000,261262000000,872578000000,2305321000000,203826000000.0,285116000000.0,367534000000,11.016408815671625,0.37850607355765203,JPM,Financials
2019-12-31,2687379000000,2426049000000,261330000000,676866000000,2110310000000,137118000000.0,224595000000.0,263631000000,9.283469176902766,0.3207424501613507,JPM,Financials
2019-09-30,2764661000000,2500313000000,264348000000,699006000000,1960263000000,156858000000.0,296659000000.0,256597000000,9.458414665516667,0.35658786601593767,JPM,Financials
2019-06-30,2727379000000,2464164000000,263215000000,632794000000,1933573000000,173224000000.0,261573000000.0,268038000000,9.36179169120301,0.32726667159708994,JPM,Financials
2019-03-31,2737188000000,2477351000000,259837000000,611360000000,1944330000000,182862000000.0,293982000000.0,302604000000,9.534250318468887,0.31443222086785677,JPM,Financials
2018-12-31,2622532000000,2366017000000,256515000000,582387000000,2057945000000,165014000000.0,251596000000.0,278793000000,9.223698419195758,0.282994443486099,JPM,Financials
2018-09-30,2615183000000,2356227000000,258956000000,697919000000,1856155000000,171391000000.0,246243000000.0,419097000000,9.098947311512381,0.376002542891084,JPM,Financials
2018-06-30,2590050000000,2332592000000,257458000000,682858000000,1805302000000,171161000000.0,203342000000.0,405180000000,9.060087470577725,0.3782513950574474,JPM,Financials
2018-03-31,2609785000000,2353584000000,256201000000,696617000000,1830075000000,158121000000.0,206577000000.0,414812000000,9.18647468198797,0.3806494269360545,JPM,Financials
2017-12-31,2533600000000,2277907000000,255693000000,701258000000,1962846000000,149744000000.0,210718000000.0,431304000000,8.908757768104719,0.357265929166119,JPM,Financials
2017-09-30,2563074000000,2304692000000,258382000000,735770000000,1761203000000,156959000000.0,193641000000.0,457804000000,8.91970802919708,0.41776558409223696,JPM,Financials
2017-06-30,2563174000000,2304691000000,258483000000,728896000000,1760724000000,164321000000.0,187828000000.0,449161000000,8.916218861588577,0.413975160218183,JPM,Financials
2017-03-31,2546290000000,2290427000000,255863000000,753370000000,1756711000000,172170000000.0,198224000000.0,460395000000,8.951771064983996,0.4288525545749984,JPM,Financials
2016-12-31,2490972000000,2236782000000,254190000000,680856000000,1898690000000,175706000000.0,200109000000.0,389635000000,8.79964593414375,0.35859250325224235,JPM,Financials
2016-09-30,2521029000000,2266698000000,254331000000,702313000000,1700156000000,185502000000.0,180749000000.0,417590000000,8.912393691685244,0.41308738727505007,JPM,Financials
2016-06-30,2466096000000,2213673000000,252423000000,655015000000,1673239000000,199185000000.0,183323000000.0,365305000000,8.769696105346977,0.3914652957527287,JPM,Financials
2016-03-31,2423808000000,2173651000000,250157000000,673448000000,1647587000000,185955000000.0,178489000000.0,378408000000,8.689147215548635,0.4087480661112281,JPM,Financials
2015-12-31,2351698000000,2104125000000,247573000000,648864000000,1682484000000,168776000000.0,168240000000.0,360505000000,8.499008373287879,0.38565834801400783,JPM,Financials
2015-09-30,2417121000000,2171393000000,245728000000,711871000000,1614555000000,190207000000.0,199975000000.0,397454000000,8.836571330902462,0.44090848561987667,JPM,Financials
2015-06-30,2449599000000,2208394000000,241205000000,758745000000,1649889000000,189424000000.0,223135000000.0,422902000000,9.155672560684895,0.4598763916845315,JPM,Financials
2015-03-31,2577148000000,2341284000000,235864000000,881082000000,1778393000000,209364000000.0,252233000000.0,529204000000,9.926415222331514,0.4954371727733971,JPM,Financials
2014-12-31,2572274000000,2340547000000,231727000000,881139000000,1909154000000,205177000000.0,258445000000.0,512308000000,10.100450098607412,0.46153374740853803,JPM,Financials
2014-09-30,2527005000000,2295728000000,231277000000,925845000000,1979443000000,190820000000.0,290598000000.0,439684000000,9.926313468265327,0.46773006345724527,JPM,Financials
2014-06-30,2520336000000,2293022000000,227314000000,104619000000,63804000000,454308000000.0,98517000000.0,421432000000,10.087464916371188,1.6396934361482038,JPM,Financials
