Date,Revenue,Net_Income,Gross_Profit,Operating_Income,EBITDA,EPS,Company,Sector
2025-09-30,71900000000,14393000000,43024000000,18743000000,20743000000,,JPM,Financials
2025-06-30,69944000000,14987000000,42063000000,18284000000,20314000000,,JPM,Financials
2025-03-31,68907000000,14643000000,42005000000,18408000000,20438000000,,JPM,Financials
2024-12-31,67007000000,14005000000,40137000000,17375000000,19340000000,,JPM,Financials
2024-09-30,69667000000,12898000000,39543000000,16978000000,18945000000,,JPM,Financials
2024-06-30,67835000000,18149000000,39039000000,23435000000,25437000000,,JPM,Financials
2024-03-31,66264000000,13419000000,40050000000,17293000000,19297000000,,JPM,Financials
2023-12-31,61933000000,9307000000,35849000000,11326000000,14663000000,,JPM,Financials
2023-09-30,61591000000,13151000000,38390000000,16733000000,18752000000,,JPM,Financials
2023-06-30,58447000000,14472000000,35696000000,17586000000,18093000000,,JPM,Financials
2023-03-31,54641000000,12622000000,36074000000,15967000000,17616000000,,JPM,Financials
2022-12-31,34547000000,11008000000,32259000000,11155000000,12826000000,,JPM,Financials
2022-09-30,40795000000,9737000000,31179000000,12001000000,13772000000,,JPM,Financials
2022-06-30,34227000000,8649000000,29614000000,10865000000,12654000000,,JPM,Financials
2022-03-31,32342000000,8282000000,29254000000,10063000000,11883000000,,JPM,Financials
2021-12-31,30706000000,10399000000,30545000000,12657000000,14588000000,,JPM,Financials
2021-09-30,31061000000,11687000000,31174000000,14111000000,16039000000,,JPM,Financials
2021-06-30,31839000000,11948000000,32764000000,15097000000,17100000000,,JPM,Financials
2021-03-31,33632000000,14300000000,36422000000,17697000000,19767000000,,JPM,Financials
2020-12-31,30558000000,12136000000,31113000000,15065000000,17192000000,,JPM,Financials
2020-09-30,30845000000,9443000000,28644000000,11769000000,13910000000,,JPM,Financials
2020-06-30,35330000000,4687000000,22602000000,5660000000,7809000000,,JPM,Financials
2020-03-31,32999000000,2865000000,20001000000,3210000000,5407000000,,JPM,Financials
2019-12-31,34092000000,8520000000,26904000000,10565000000,12704000000,,JPM,Financials
2019-09-30,36184000000,9080000000,27777000000,11405000000,13550000000,,JPM,Financials
2019-06-30,35952000000,9652000000,27598000000,11342000000,13388000000,,JPM,Financials
2019-03-31,36059000000,9179000000,27628000000,11233000000,13271000000,,JPM,Financials
2018-12-31,32793000000,7066000000,24561000000,8841000000,10916000000,,JPM,Financials
2018-09-30,32791000000,8380000000,26312000000,10689000000,12681000000,,JPM,Financials
2018-06-30,32834000000,8316000000,26543000000,10572000000,12499000000,,JPM,Financials
2018-03-31,32290000000,8712000000,26742000000,10662000000,12459000000,,JPM,Financials
2017-12-31,28119000000,4232000000,22845000000,8254000000,9886000000,,JPM,Financials
2017-09-30,29467000000,6732000000,24126000000,9556000000,11135000000,,JPM,Financials
2017-06-30,28528000000,7029000000,23871000000,9749000000,11253000000,,JPM,Financials
2017-03-31,27917000000,6448000000,23624000000,8341000000,9805000000,,JPM,Financials
2016-12-31,26089000000,6727000000,22512000000,8679000000,10125000000,,JPM,Financials
2016-09-30,27140000000,6286000000,23402000000,8939000000,10346000000,,JPM,Financials
2016-06-30,26846000000,6200000000,22978000000,9340000000,10676000000,,JPM,Financials
2016-03-31,25411000000,5520000000,21415000000,7578000000,8867000000,,JPM,Financials
2015-12-31,24301000000,5434000000,21120000000,7371000000,8644000000,,JPM,Financials
2015-09-30,24595000000,6804000000,22098000000,6730000000,7978000000,,JPM,Financials
2015-06-30,25642000000,6290000000,22877000000,8377000000,9615000000,,JPM,Financials
2015-03-31,25954000000,5914000000,23107000000,8224000000,9405000000,,JPM,Financials
2014-12-31,24401000000,4931000000,21672000000,6263000000,7449000000,,JPM,Financials
2014-09-30,26288000000,5565000000,23712000000,7914000000,9061000000,,JPM,Financials
2014-06-30,26741000000,5980000000,23986000000,8555000000,9773000000,,JPM,Financials
2014-03-31,25341000000,5269000000,22365000000,7729000000,8937000000,,JPM,Financials
2013-12-31,25511000000,5278000000,23052000000,7500000000,8746000000,,JPM,Financials
2013-09-30,25408000000,-380000000,23660000000,34000000,1685000000,,JPM,Financials
2013-06-30,27579000000,6496000000,25164000000,9298000000,10733000000,,JPM,Financials
2013-03-31,27554000000,6529000000,24505000000,9082000000,10056000000,,JPM,Financials
2012-12-31,26165000000,5692000000,22997000000,6950000000,8354000000,,JPM,Financials
2012-09-30,27799000000,5708000000,23357000000,7986000000,9280000000,,JPM,Financials
2012-06-30,25133000000,4960000000,21966000000,7000000000,8217000000,,JPM,Financials
2012-03-31,29087000000,4924000000,25326000000,6981000000,8213000000,,JPM,Financials
2011-12-31,24394000000,3728000000,19287000000,4747000000,6035000000,,JPM,Financials
2011-09-30,27106000000,4262000000,21352000000,5818000000,7083000000,,JPM,Financials
2011-06-30,30575000000,5431000000,24969000000,8127000000,9405000000,,JPM,Financials
2011-03-31,28763000000,5555000000,24052000000,8057000000,9331000000,,JPM,Financials
2010-12-31,29608000000,4831000000,23055000000,7012000000,8300000000,,JPM,Financials
2010-09-30,26928000000,4418000000,20601000000,6203000000,7476000000,,JPM,Financials
2010-06-30,28133000000,4795000000,21738000000,7107000000,8315000000,,JPM,Financials
2010-03-31,30806000000,3326000000,20661000000,4537000000,5741000000,,JPM,Financials
2009-12-31,26401000000,3278000000,15880000000,3876000000,4963000000,,JPM,Financials
2009-09-30,30145000000,3588000000,18518000000,5063000000,6060000000,,JPM,Financials
2009-06-30,29502000000,2721000000,17592000000,4072000000,5135000000,,JPM,Financials
2009-03-31,29584000000,2141000000,16429000000,3056000000,3742000000,,JPM,Financials
2008-12-31,25025000000,702000000,9913000000,-1342000000,-186000000,,JPM,Financials
2008-09-30,23069000000,527000000,8950000000,-2187000000,-1072000000,,JPM,Financials
2008-06-30,26634000000,2003000000,14944000000,2767000000,3979000000,,JPM,Financials
2008-03-31,26763000000,2373000000,12466000000,3535000000,4458000000,,JPM,Financials
2007-12-31,28780000000,2971000000,14842000000,4122000000,5183000000,,JPM,Financials
2007-09-30,28005000000,3373000000,14327000000,5000000000,5957000000,,JPM,Financials
2007-06-30,30082000000,4234000000,17379000000,6351000000,7278000000,,JPM,Financials
2007-03-31,29486000000,4787000000,17960000000,7332000000,8208000000,,JPM,Financials
2006-12-31,27055000000,4526000000,14920000000,5174000000,6171000000,,JPM,Financials
2006-09-30,25323000000,3297000000,14733000000,4937000000,5797000000,,JPM,Financials
2006-06-30,24379000000,3540000000,14447000000,5211000000,6094000000,,JPM,Financials
2006-03-31,23477000000,3081000000,14405000000,4653000000,5490000000,,JPM,Financials
2005-12-31,21109000000,2698000000,12454000000,3919000000,4982000000,,JPM,Financials
2005-09-30,20772000000,2527000000,13020000000,3661000000,4695000000,,JPM,Financials
2025-09-30,48221000000,8469000000,26793000000,9456000000,9456000000,,BAC,Financials
2025-06-30,46666000000,7116000000,24871000000,7688000000,8269000000,,BAC,Financials
2025-03-31,46989000000,7396000000,25886000000,8116000000,8681000000,,BAC,Financials
2024-12-31,46965000000,6665000000,23895000000,7108000000,7667000000,,BAC,Financials
2024-09-30,25345000000,6896000000,12726000000,10582000000,11131000000,,BAC,Financials
2024-06-30,25377000000,6897000000,12863000000,19435000000,19978000000,,BAC,Financials
2024-03-31,25818000000,6674000000,12235000000,7262000000,7800000000,,BAC,Financials
2023-12-31,20855000000,3144000000,20855000000,3124000000,3626000000,,BAC,Financials
2023-09-30,25167000000,7802000000,12931000000,8095000000,8612000000,,BAC,Financials
2023-06-30,25197000000,7408000000,12799000000,26230000000,26740000000,,BAC,Financials
2023-03-31,25327000000,8161000000,12671000000,9089000000,9592000000,,BAC,Financials
2022-12-31,23440000000,7132000000,23440000000,7897000000,8399000000,,BAC,Financials
2022-09-30,23604000000,7082000000,11769000000,8301000000,8792000000,,BAC,Financials
2022-06-30,22165000000,6247000000,10332000000,6892000000,7383000000,,BAC,Financials
2022-03-31,23198000000,7067000000,11199000000,7879000000,8373000000,,BAC,Financials
2021-12-31,22549000000,7013000000,22549000000,7818000000,8313000000,,BAC,Financials
2021-09-30,23390000000,7691000000,12134000000,8950000000,9423000000,,BAC,Financials
2021-06-30,23087000000,9224000000,11702000000,8042000000,8511000000,,BAC,Financials
2021-03-31,24681000000,8050000000,12342000000,9166000000,9627000000,,BAC,Financials
2020-12-31,20046000000,5470000000,20046000000,6119000000,6606000000,,BAC,Financials
2020-09-30,18947000000,4881000000,7567000000,4546000000,5022000000,,BAC,Financials
2020-06-30,17209000000,3533000000,6748000000,3799000000,4247000000,,BAC,Financials
2020-03-31,18006000000,4010000000,7330000000,4531000000,4963000000,,BAC,Financials
2019-12-31,21408000000,6994000000,21408000000,8169000000,8608000000,,BAC,Financials
2019-09-30,19956000000,5777000000,7472000000,6859000000,7297000000,,BAC,Financials
2019-06-30,22227000000,7348000000,11762000000,8959000000,9393000000,,BAC,Financials
2019-03-31,21991000000,7311000000,11395000000,8767000000,9185000000,,BAC,Financials
2018-12-31,21772000000,7278000000,21831000000,9167000000,9691000000,,BAC,Financials
2018-09-30,22008000000,7167000000,18486000000,8994000000,9509000000,,BAC,Financials
2018-06-30,22451000000,6784000000,18868000000,9227000000,9740000000,,BAC,Financials
2018-03-31,22236000000,6918000000,18538000000,8394000000,8905000000,,BAC,Financials
2017-12-31,19435000000,2365000000,14830000000,6329000000,6844000000,,BAC,Financials
2017-09-30,21005000000,5587000000,17384000000,7751000000,7902000000,,BAC,Financials
2017-06-30,22103000000,5269000000,18126000000,8313000000,8473000000,,BAC,Financials
2017-03-31,21413000000,4856000000,17658000000,7594000000,7756000000,,BAC,Financials
2016-12-31,19216000000,4696000000,15869000000,5369000000,5545000000,,BAC,Financials
2016-09-30,20785000000,4955000000,17009000000,7485000000,7666000000,,BAC,Financials
2016-06-30,20310000000,4232000000,16517000000,7273000000,7459000000,,BAC,Financials
2016-03-31,19793000000,2680000000,15871000000,5552000000,6118000000,,BAC,Financials
2015-12-31,18772000000,3336000000,16618000000,6164000000,6366000000,,BAC,Financials
2015-09-30,20186000000,4508000000,16474000000,6454000000,6661000000,,BAC,Financials
2015-06-30,20697000000,5320000000,16837000000,6951000000,7163000000,,BAC,Financials
2015-03-31,20149000000,3357000000,16165000000,4535000000,4748000000,,BAC,Financials
2014-12-31,18506000000,3050000000,15770000000,4938000000,5166000000,,BAC,Financials
2014-09-30,20573000000,-470000000,10826000000,6665000000,6899000000,,BAC,Financials
2014-06-30,21336000000,2291000000,13497000000,7030000000,7265000000,,BAC,Financials
2014-03-31,21557000000,-514000000,11510000000,5558000000,5797000000,,BAC,Financials
2013-12-31,21152000000,3439000000,17890000000,6411000000,6677000000,,BAC,Financials
2013-09-30,21234000000,2497000000,15814000000,6215000000,6485000000,,BAC,Financials
2013-06-30,21516000000,4012000000,16624000000,6243000000,6517000000,,BAC,Financials
2013-03-31,21484000000,1110000000,14450000000,4460000000,4736000000,,BAC,Financials
2012-12-31,14856000000,367000000,7987000000,-2295000000,-1986000000,,BAC,Financials
2012-09-30,20196000000,340000000,13800000000,6228000000,6543000000,,BAC,Financials
2012-06-30,21606000000,2463000000,16088000000,7103000000,7424000000,,BAC,Financials
2012-03-31,21553000000,653000000,15423000000,8083000000,8402000000,,BAC,Financials
2011-12-31,21661000000,1991000000,7735000000,7624000000,7989000000,,BAC,Financials
2011-09-30,27092000000,6232000000,21421000000,8689000000,9066000000,,BAC,Financials
2011-06-30,12069000000,-8826000000,3888000000,7541000000,7923000000,,BAC,Financials
2011-03-31,25490000000,2049000000,18238000000,9460000000,9845000000,,BAC,Financials
2010-12-31,20886000000,-1244000000,14007000000,9349000000,9769000000,,BAC,Financials
2010-09-30,26466000000,-7299000000,21010000000,11605000000,12031000000,,BAC,Financials
2010-06-30,29153000000,3123000000,23766000000,12605000000,13591000000,,BAC,Financials
2010-03-31,31969000000,3182000000,26301000000,13207000000,14219000000,,BAC,Financials
2009-12-31,23050000000,-194000000,17226000000,13012000000,13444000000,,BAC,Financials
2009-09-30,25989000000,-1001000000,20385000000,11887000000,12983000000,,BAC,Financials
2009-06-30,26831000000,3224000000,20955000000,12673000000,13189000000,,BAC,Financials
2009-03-31,35758000000,4247000000,30710000000,16182000000,17280000000,,BAC,Financials
2008-12-31,16471000000,-1789000000,12180000000,8220000000,8697000000,,BAC,Financials
2008-09-30,19621000000,1177000000,15942000000,17488000000,18350000000,,BAC,Financials
2008-06-30,20315000000,3410000000,17616000000,16395000000,17190000000,,BAC,Financials
2008-03-31,17003000000,1210000000,14895000000,18829000000,19603000000,,BAC,Financials
2007-12-31,12672000000,268000000,5729000000,2199000000,2998000000,,BAC,Financials
2007-09-30,15929000000,3698000000,13596000000,10453000000,11163000000,,BAC,Financials
2007-06-30,19563000000,5761000000,17209000000,14035000000,14706000000,,BAC,Financials
2007-03-31,18155000000,5255000000,16055000000,13171000000,13835000000,,BAC,Financials
2006-12-31,15297000000,5256000000,13063000000,9649000000,10361000000,,BAC,Financials
2006-09-30,18184000000,5416000000,16014000000,15637000000,16356000000,,BAC,Financials
2006-06-30,18221000000,5475000000,16040000000,15263000000,15983000000,,BAC,Financials
2006-03-31,17691000000,4986000000,15541000000,14734000000,15452000000,,BAC,Financials
2005-12-31,13518000000,3347000000,11459000000,9274000000,9713000000,,BAC,Financials
2005-09-30,14636000000,4127000000,12637000000,10077000000,10516000000,,BAC,Financials
2025-09-30,43840000000,3752000000,19640000000,5350000000,5350000000,,C,Financials
2025-06-30,42352000000,4019000000,18796000000,5219000000,6316000000,,C,Financials
2025-03-31,41255000000,4064000000,18893000000,5448000000,6498000000,,C,Financials
2024-12-31,40900000000,2856000000,17005000000,3802000000,4821000000,,C,Financials
2024-09-30,43359000000,3238000000,17668000000,4390000000,5471000000,,C,Financials
2024-06-30,42638000000,3217000000,17681000000,4310000000,5411000000,,C,Financials
2024-03-31,43722000000,3371000000,18678000000,4544000000,5654000000,,C,Financials
2023-12-31,41395000000,-1839000000,15317000000,-2103000000,-931000000,,C,Financials
2023-09-30,40748000000,3546000000,17921000000,4788000000,5929000000,,C,Financials
2023-06-30,38187000000,2915000000,17626000000,4042000000,5178000000,,C,Financials
2023-03-31,36452000000,4606000000,18437000000,6183000000,7294000000,,C,Financials
2022-12-31,30439000000,2513000000,16181000000,3176000000,4284000000,,C,Financials
2022-09-30,25240000000,3479000000,16554000000,4394000000,5459000000,,C,Financials
2022-06-30,23236000000,4547000000,18338000000,5971000000,7045000000,,C,Financials
2022-03-31,21468000000,4306000000,18458000000,5266000000,6281000000,,C,Financials
2021-12-31,18332000000,3173000000,17741000000,3950000000,4935000000,,C,Financials
2021-09-30,19416000000,4644000000,17661000000,5862000000,6897000000,,C,Financials
2021-06-30,19734000000,6193000000,18834000000,7348000000,8330000000,,C,Financials
2021-03-31,21706000000,7942000000,21774000000,10309000000,11271000000,,C,Financials
