Feature,Correlation_with_VIX
VIX,1.0
Financial_Stress_Index,0.81328112706403
High_Yield_Spread,0.7697707039381174
High_Volatility,0.737735640916164
Corporate_Bond_Spread,0.6830602958749732
XOM_Stock_Volume,0.555241258649611
JPM_Stock_Volume,0.5028512467023556
WFC_Stock_Volume,0.4805563130944902
GS_Stock_Volume,0.4801962717066868
CVX_Stock_Volume,0.4700779634854029
TED_Spread,0.42513754966981243
HD_Stock_Volume,0.4064100369897919
WMT_Stock_Volume,0.35856661124779715
COST_Stock_Volume,0.3501533373169459
CAT_Stock_Volume,0.34607122160655357
MSFT_Stock_Volume,0.3459287545615709
JNJ_Stock_Volume,0.33882911209771494
DIS_Stock_Volume,0.3365643171964959
BA_Stock_Volume,0.3295656899528379
LIN_Stock_Volume,0.3168814730644397
PG_Stock_Volume,0.31156172053852066
Unemployment_Rate,0.2977068443453809
MCD_Stock_Volume,0.29526928517805545
BAC_Stock_Volume,0.2938247207985614
UNH_Stock_Volume,0.26931989699216397
AMZN_Stock_Volume,0.24518133495225122
NVDA_Stock_Volume,0.23048936465273043
TSLA_Stock_Volume,0.22931350563368508
Yield_Curve_Spread,0.21489614131947626
C_Stock_Volume,0.21435828884530117
GOOGL_Stock_Volume,0.19808622348711344
AAPL_Stock_Volume,0.192356476422409
NFLX_Stock_Volume,0.1472065098569335
GOOGL_Stock_Return,0.13038847482599478
Trade_Balance,0.1192999995283639
Month,0.019396251652812002
Quarter,0.017975428309068668
IsMonthEnd,0.0018183342042169936
DayOfWeek,-0.009954457855217296
Treasury_10Y_Yield,-0.015992628769832037
TSLA_Stock_Price,-0.01948459482705339
NFLX_Stock_Return,-0.02739790396852878
GDP_Growth,-0.03786756608570853
WMT_Stock_Return,-0.04040716525263114
AMZN_Stock_Return,-0.04995710255577445
UNH_Stock_Return,-0.05272327591047229
NVDA_Stock_Return,-0.06142303205601572
PG_Stock_Return,-0.0665800144858635
AAPL_Stock_Price,-0.06903417392753916
JNJ_Stock_Return,-0.06946785388846462
AMZN_Stock_Price,-0.07021036505856704
XOM_Stock_Return,-0.07063139951181467
MSFT_Stock_Price,-0.07108332534382975
COST_Stock_Return,-0.07198893900805187
HD_Stock_Return,-0.07312902912838858
TSLA_Stock_Return,-0.07381425574673942
LIN_Stock_Return,-0.07497310058667721
WFC_Stock_Return,-0.07582360468289338
MCD_Stock_Return,-0.07736036024329375
CPI_Inflation,-0.07748783010965739
CAT_Stock_Return,-0.07915978987901763
AAPL_Stock_Return,-0.0800141643940677
CVX_Stock_Return,-0.08173380453221797
JPM_Stock_Return,-0.0818623664242985
MSFT_Stock_Return,-0.08411977379948697
COST_Stock_Price,-0.08412617540384863
NFLX_Stock_Price,-0.08488713398783163
WMT_Stock_Price,-0.08689355273528028
NVDA_Stock_Price,-0.08979613081027954
DIS_Stock_Return,-0.09045793481162767
UNH_Stock_Price,-0.09166883946406273
GS_Stock_Return,-0.09193063578110543
BAC_Stock_Return,-0.09271255908353285
C_Stock_Price,-0.09681156384693669
BA_Stock_Return,-0.10494352676938556
C_Stock_Return,-0.10791866357281801
MCD_Stock_Price,-0.10793967548720769
PG_Stock_Price,-0.11329786541515133
LIN_Stock_Price,-0.11396658825178203
HD_Stock_Price,-0.11424177983043783
GOOGL_Stock_Price,-0.11494905592518735
SP500_Return,-0.13552719061924678
Federal_Funds_Rate,-0.13640258166212435
JNJ_Stock_Price,-0.14510149364173552
JPM_Stock_Price,-0.1454639416119341
CAT_Stock_Price,-0.15419790619937354
Year,-0.1581775595235653
SP500,-0.16492828386661862
GS_Stock_Price,-0.17244577867911212
Oil_Price,-0.1725331695068848
CVX_Stock_Price,-0.19134177147576042
DIS_Stock_Price,-0.20413460609988904
XOM_Stock_Price,-0.22849760237274708
BAC_Stock_Price,-0.23020643156742177
BA_Stock_Price,-0.26229052563078753
WFC_Stock_Price,-0.31756966085170313
Consumer_Confidence,-0.359557287051742
